iter	Passed	Remaining
660	23421	12215
661	23453	12176
662	23483	12137
663	23513	12098
664	23542	12059
665	23575	12021
666	23603	11981
667	23631	11941
668	23663	11903
669	23693	11864
670	23723	11825
671	23752	11786
672	23783	11747
673	23812	11708
674	23844	11670
675	23874	11631
676	23905	11593
677	23934	11554
678	23963	11515
679	23994	11477
680	24024	11438
681	24057	11401
682	24087	11362
683	24116	11323
684	24149	11286
685	24180	11248
686	24211	11210
687	24240	11171
688	24274	11134
689	24305	11096
690	24336	11058
691	24370	11022
692	24400	10983
693	24431	10945
694	24461	10907
695	24490	10868
696	24520	10830
697	24553	10793
698	24583	10755
699	24618	10719
700	24648	10680
701	24679	10643
702	24708	10604
703	24738	10566
704	24771	10529
705	24800	10491
706	24836	10455
707	24866	10417
708	24896	10379
709	24923	10340
710	24955	10302
711	24986	10265
712	25015	10227
713	25045	10189
714	25074	10151
715	25104	10113
716	25135	10075
717	25162	10036
718	25190	9997
719	25222	9960
720	25252	9923
721	25281	9884
722	25312	9847
723	25342	9810
724	25370	9771
725	25400	9734
726	25429	9695
727	25457	9657
728	25487	9620
729	25516	9581
730	25546	9544
731	25577	9507
732	25606	9469
733	25637	9432
734	25667	9394
735	25700	9358
736	25700	9358
737	25890	9343
738	25919	9305
739	25952	9268
740	25983	9231
741	26012	9193
742	26044	9156
743	26074	9119
744	26105	9081
745	26134	9043
746	26165	9006
747	26197	8969
748	26225	8931
749	26258	8895
750	26286	8856
751	26315	8819
752	26347	8782
753	26379	8745
754	26411	8708
755	26444	8672
756	26475	8635
757	26505	8598
758	26537	8561
759	26568	8524
760	26568	8524
761	26755	8501
762	26786	8464
763	26817	8427
764	26847	8389
765	26874	8351
766	26905	8314
767	26934	8276
768	26963	8238
769	26995	8201
770	27025	8164
771	27055	8127
772	27085	8090
773	27115	8052
774	27147	8015
775	27180	7979
776	27209	7942
777	27241	7905
778	27271	7868
779	27305	7831
780	27333	7794
781	27363	7757
782	27391	7719
783	27421	7682
784	27451	7645
785	27481	7608
786	27510	7570
787	27542	7534
788	27574	7497
789	27604	7460
790	27632	7423
791	27661	7385
792	27690	7348
793	27723	7312
794	27751	7275
795	27785	7239
796	27818	7202
797	27848	7166
798	27879	7129
799	27909	7092
800	27939	7055
801	27970	7019
802	28001	6982
803	28032	6946
804	28061	6909
805	28090	6871
806	28118	6834
807	28145	6797
808	28176	6760
809	28206	6724
810	28236	6687
811	28267	6651
812	28298	6614
813	28327	6577
814	28359	6541
815	28395	6506
816	28427	6470
817	28456	6433
818	28492	6398
819	28525	6362
820	28555	6326
821	28589	6290
822	28589	6290
823	28779	6253
824	28812	6217
825	28844	6181
826	28875	6144
827	28904	6107
828	28935	6071
829	28966	6034
830	28996	5997
831	29029	5962
832	29064	5926
833	29095	5889
834	29126	5853
835	29161	5818
836	29192	5781
837	29223	5745
838	29252	5708
839	29280	5671
840	29313	5635
841	29346	5599
842	29375	5563
843	29402	5526
844	29431	5489
845	29460	5453
846	29491	5416
847	29522	5380
848	29550	5343
849	29577	5307
850	29606	5270
851	29637	5234
852	29668	5198
853	29699	5161
854	29730	5125
855	29758	5089
856	29786	5052
857	29818	5016
858	29847	4980
859	29875	4943
860	29902	4907
861	29937	4871
862	29966	4835
863	29994	4799
864	30022	4762
865	30053	4726
866	30082	4690
867	30109	4653
868	30140	4618
869	30170	4582
870	30202	4546
871	30233	4510
872	30263	4474
873	30292	4438
874	30322	4402
875	30351	4366
876	30384	4330
877	30415	4294
878	30447	4259
879	30476	4223
880	30503	4186
881	30534	4151
882	30565	4115
883	30595	4079
884	30624	4043
885	30656	4007
886	30685	3971
887	30711	3935
888	30741	3899
889	30769	3863
890	30800	3828
891	30830	3792
892	30860	3756
893	30891	3721
894	30921	3685
895	30950	3649
896	30981	3613
897	31013	3578
898	31044	3542
899	31073	3507
900	31102	3471
901	31135	3436
902	31164	3400
903	31196	3365
904	31225	3329
905	31256	3293
906	31285	3258
907	31315	3222
908	31346	3187
909	31375	3151
910	31406	3116
911	31437	3080
912	31465	3045
913	31497	3009
914	31528	2974
915	31559	2939
916	31590	2903
917	31622	2868
918	31654	2833
919	31687	2798
920	31717	2762
921	31745	2727
922	31775	2691
923	31805	2656
924	31837	2621
925	31866	2585
926	31896	2550
927	31923	2514
928	31954	2479
929	31982	2444
930	32014	2408
931	32047	2373
932	32077	2338
933	32106	2303
934	32137	2268
935	32166	2232
936	32197	2197
937	32229	2162
938	32257	2127
939	32286	2092
940	32316	2056
941	32346	2021
942	32375	1986
943	32403	1951
944	32433	1916
945	32463	1880
946	32493	1845
947	32526	1810
948	32557	1775
949	32586	1740
950	32618	1705
951	32650	1670
952	32681	1635
953	32713	1600
954	32742	1565
955	32772	1530
956	32802	1495
957	32835	1460
958	32866	1425
959	32896	1390
960	32925	1355
961	32956	1321
962	32985	1286
963	33012	1251
964	33047	1216
965	33077	1181
966	33107	1146
967	33139	1111
968	33166	1076
969	33200	1041
970	33233	1007
971	33261	972
972	33293	937
973	33321	902
974	33352	867
975	33381	832
976	33410	797
977	33441	763
978	33470	728
979	33498	693
980	33527	658
981	33554	623
982	33583	589
983	33611	554
984	33644	519
985	33673	485
986	33702	450
987	33732	415
988	33762	380
989	33792	346
990	33822	311
991	33851	276
992	33879	242
993	33907	207
994	33937	172
995	33966	138
996	33996	103
997	34024	69
998	34053	34
999	34083	0
